fecha_extraccion,hora_extraccion,distrito,marca,establecimiento,direccion,telefono,precio,producto,fuente
2026-06-28,08:43:38,SAN JUAN DE MIRAFLORES,Super Gas,SUIZA GAS SAC,"JR. HUANCABAMBA N° 116-118, ZONA INDUSTRIAL",987585110,244.35,45 Kg,Facilito Osinergmin
2026-06-28,08:43:38,SAN JUAN DE MIRAFLORES,PUNTO GAS,SUIZA GAS SAC,"JR. HUANCABAMBA N° 116-118, ZONA INDUSTRIAL",987585110,244.35,45 Kg,Facilito Osinergmin
2026-06-28,08:43:38,SAN JUAN DE MIRAFLORES,MT GAS,SUIZA GAS SAC,"JR. HUANCABAMBA N° 116-118, ZONA INDUSTRIAL",987585110,244.35,45 Kg,Facilito Osinergmin
2026-06-28,08:43:38,SAN JUAN DE MIRAFLORES,DAME GAS,SUIZA GAS SAC,"JR. HUANCABAMBA N° 116-118, ZONA INDUSTRIAL",987585110,244.35,45 Kg,Facilito Osinergmin
2026-06-28,08:43:38,VILLA MARIA DEL TRIUNFO,Llama Gas,LLAMA GAS S.A.,AV. PACHACUTEC KM. 23.5 TABLADA DE LURIN,016171717,74.0,15 Kg,Facilito Osinergmin
2026-06-28,08:43:38,VILLA MARIA DEL TRIUNFO,Llama Gas,LLAMA GAS S.A.,AV. PACHACUTEC KM. 23.5 TABLADA DE LURIN,016171717,216.0,45 Kg,Facilito Osinergmin
2026-06-29,10:43:28,ATE,PETRO AMÉRICA,PUNTO GAS S.A.C.,"MZ. O LOTE 3, URB. INDUSTRIAL SANTA ROSA",,66.9,15 Kg,Facilito Osinergmin
2026-06-29,10:43:28,ATE,Delta Gas,PUNTO GAS S.A.C.,"MZ. O LOTE 3, URB. INDUSTRIAL SANTA ROSA",,66.9,15 Kg,Facilito Osinergmin
2026-06-29,10:43:28,ATE,PETRO AMÉRICA,PUNTO GAS S.A.C.,"MZ. O LOTE 3, URB. INDUSTRIAL SANTA ROSA",,200.7,45 Kg,Facilito Osinergmin
2026-06-29,10:43:28,ATE,Delta Gas,PUNTO GAS S.A.C.,"MZ. O LOTE 3, URB. INDUSTRIAL SANTA ROSA",,200.7,45 Kg,Facilito Osinergmin
2026-06-29,10:43:28,CHORRILLOS,INTI GAS,INTI GAS SAC,AV. LOS FAISANES N° 608-616 URB. LA CAMPIÑA,,70.5,15 Kg,Facilito Osinergmin
2026-06-29,10:43:28,CHORRILLOS,INTI GAS,INTI GAS SAC,AV. LOS FAISANES N° 608-616 URB. LA CAMPIÑA,,211.5,45 Kg,Facilito Osinergmin
2026-06-29,10:43:28,LURIGANCHO,Vita Gas,VITA GAS,"AV. LOS ROBLES MZ. I, LOTE 10, URB. LA CAPITANA",961801035/961801387,64.5,15 Kg,Facilito Osinergmin
2026-06-29,10:43:28,LURIGANCHO,Vita Gas,VITA GAS,"AV. LOS ROBLES MZ. I, LOTE 10, URB. LA CAPITANA",961801035/961801387,193.5,45 Kg,Facilito Osinergmin
2026-06-29,10:43:28,SAN JUAN DE MIRAFLORES,Metro Gas,SUIZA GAS SAC,"JR. HUANCABAMBA N° 116-118, ZONA INDUSTRIAL",987585110,244.35,45 Kg,Facilito Osinergmin
2026-06-29,10:43:28,SAN JUAN DE MIRAFLORES,Super Gas,SUIZA GAS SAC,"JR. HUANCABAMBA N° 116-118, ZONA INDUSTRIAL",987585110,244.35,45 Kg,Facilito Osinergmin
2026-06-29,10:43:28,SAN JUAN DE MIRAFLORES,PUNTO GAS,SUIZA GAS SAC,"JR. HUANCABAMBA N° 116-118, ZONA INDUSTRIAL",987585110,244.35,45 Kg,Facilito Osinergmin
2026-06-29,10:43:28,SAN JUAN DE MIRAFLORES,MT GAS,SUIZA GAS SAC,"JR. HUANCABAMBA N° 116-118, ZONA INDUSTRIAL",987585110,244.35,45 Kg,Facilito Osinergmin
2026-06-29,10:43:28,SAN JUAN DE MIRAFLORES,DAME GAS,SUIZA GAS SAC,"JR. HUANCABAMBA N° 116-118, ZONA INDUSTRIAL",987585110,244.35,45 Kg,Facilito Osinergmin
2026-06-29,10:43:28,VILLA MARIA DEL TRIUNFO,Llama Gas,LLAMA GAS S.A.,AV. PACHACUTEC KM. 23.5 TABLADA DE LURIN,016171717,74.0,15 Kg,Facilito Osinergmin
2026-06-29,10:43:28,VILLA MARIA DEL TRIUNFO,Llama Gas,LLAMA GAS S.A.,AV. PACHACUTEC KM. 23.5 TABLADA DE LURIN,016171717,216.0,45 Kg,Facilito Osinergmin
2026-06-30,09:15:28,ATE,PETRO AMÉRICA,PUNTO GAS S.A.C.,"MZ. O LOTE 3, URB. INDUSTRIAL SANTA ROSA",,66.9,15 Kg,Facilito Osinergmin
2026-06-30,09:15:28,ATE,Delta Gas,PUNTO GAS S.A.C.,"MZ. O LOTE 3, URB. INDUSTRIAL SANTA ROSA",,66.9,15 Kg,Facilito Osinergmin
2026-06-30,09:15:28,ATE,PETRO AMÉRICA,PUNTO GAS S.A.C.,"MZ. O LOTE 3, URB. INDUSTRIAL SANTA ROSA",,200.7,45 Kg,Facilito Osinergmin
2026-06-30,09:15:28,ATE,Delta Gas,PUNTO GAS S.A.C.,"MZ. O LOTE 3, URB. INDUSTRIAL SANTA ROSA",,200.7,45 Kg,Facilito Osinergmin
2026-06-30,09:15:28,CHORRILLOS,INTI GAS,INTI GAS SAC,AV. LOS FAISANES N° 608-616 URB. LA CAMPIÑA,,70.5,15 Kg,Facilito Osinergmin
2026-06-30,09:15:28,CHORRILLOS,INTI GAS,INTI GAS SAC,AV. LOS FAISANES N° 608-616 URB. LA CAMPIÑA,,211.5,45 Kg,Facilito Osinergmin
2026-06-30,09:15:28,LURIGANCHO,Vita Gas,VITA GAS,"AV. LOS ROBLES MZ. I, LOTE 10, URB. LA CAPITANA",961801035/961801387,64.5,15 Kg,Facilito Osinergmin
2026-06-30,09:15:28,LURIGANCHO,Vita Gas,VITA GAS,"AV. LOS ROBLES MZ. I, LOTE 10, URB. LA CAPITANA",961801035/961801387,193.5,45 Kg,Facilito Osinergmin
2026-06-30,09:15:28,SAN JUAN DE MIRAFLORES,Metro Gas,SUIZA GAS SAC,"JR. HUANCABAMBA N° 116-118, ZONA INDUSTRIAL",987585110,244.35,45 Kg,Facilito Osinergmin
2026-06-30,09:15:28,SAN JUAN DE MIRAFLORES,Super Gas,SUIZA GAS SAC,"JR. HUANCABAMBA N° 116-118, ZONA INDUSTRIAL",987585110,244.35,45 Kg,Facilito Osinergmin
2026-06-30,09:15:28,SAN JUAN DE MIRAFLORES,PUNTO GAS,SUIZA GAS SAC,"JR. HUANCABAMBA N° 116-118, ZONA INDUSTRIAL",987585110,244.35,45 Kg,Facilito Osinergmin
2026-06-30,09:15:28,SAN JUAN DE MIRAFLORES,MT GAS,SUIZA GAS SAC,"JR. HUANCABAMBA N° 116-118, ZONA INDUSTRIAL",987585110,244.35,45 Kg,Facilito Osinergmin
2026-06-30,09:15:28,SAN JUAN DE MIRAFLORES,DAME GAS,SUIZA GAS SAC,"JR. HUANCABAMBA N° 116-118, ZONA INDUSTRIAL",987585110,244.35,45 Kg,Facilito Osinergmin
2026-06-30,09:15:28,VILLA MARIA DEL TRIUNFO,Llama Gas,LLAMA GAS S.A.,AV. PACHACUTEC KM. 23.5 TABLADA DE LURIN,016171717,74.0,15 Kg,Facilito Osinergmin
2026-06-30,09:15:28,VILLA MARIA DEL TRIUNFO,Llama Gas,LLAMA GAS S.A.,AV. PACHACUTEC KM. 23.5 TABLADA DE LURIN,016171717,216.0,45 Kg,Facilito Osinergmin
2026-07-01,09:32:00,ATE,PETRO AMÉRICA,PUNTO GAS S.A.C.,"MZ. O LOTE 3, URB. INDUSTRIAL SANTA ROSA",,66.9,15 Kg,Facilito Osinergmin
2026-07-01,09:32:00,ATE,Delta Gas,PUNTO GAS S.A.C.,"MZ. O LOTE 3, URB. INDUSTRIAL SANTA ROSA",,66.9,15 Kg,Facilito Osinergmin
2026-07-01,09:32:00,ATE,PETRO AMÉRICA,PUNTO GAS S.A.C.,"MZ. O LOTE 3, URB. INDUSTRIAL SANTA ROSA",,200.7,45 Kg,Facilito Osinergmin
2026-07-01,09:32:00,ATE,Delta Gas,PUNTO GAS S.A.C.,"MZ. O LOTE 3, URB. INDUSTRIAL SANTA ROSA",,200.7,45 Kg,Facilito Osinergmin
2026-07-01,09:32:00,CHORRILLOS,INTI GAS,INTI GAS SAC,AV. LOS FAISANES N° 608-616 URB. LA CAMPIÑA,,70.5,15 Kg,Facilito Osinergmin
2026-07-01,09:32:00,CHORRILLOS,INTI GAS,INTI GAS SAC,AV. LOS FAISANES N° 608-616 URB. LA CAMPIÑA,,211.5,45 Kg,Facilito Osinergmin
2026-07-01,09:32:00,LURIGANCHO,Vita Gas,VITA GAS,"AV. LOS ROBLES MZ. I, LOTE 10, URB. LA CAPITANA",961801035/961801387,64.5,15 Kg,Facilito Osinergmin
2026-07-01,09:32:00,LURIGANCHO,Vita Gas,VITA GAS,"AV. LOS ROBLES MZ. I, LOTE 10, URB. LA CAPITANA",961801035/961801387,193.5,45 Kg,Facilito Osinergmin
2026-07-01,09:32:00,LURIN,Costa Gas,COSTAGAS,"MZ. E LOTE 13-A, CALLE 6, LAS PRADERAS DE LURIN",016269999/941450935,102.19,15 Kg,Facilito Osinergmin
2026-07-01,09:32:00,LURIN,Costa Gas,COSTAGAS,"MZ. E LOTE 13-A, CALLE 6, LAS PRADERAS DE LURIN",016269999/941450935,223.85,45 Kg,Facilito Osinergmin
2026-07-01,09:32:00,PACHACAMAC,Chaski Gas,CORPORACIÓN ANDINA DEL GAS PERÚ S.A.C,AV. SANTA ROSA S/N LOTE P-58 KM. 14 AUTOPISTA A CIENEGUILLA,,64.5,15 Kg,Facilito Osinergmin
2026-07-01,09:32:00,PACHACAMAC,Chaski Gas,CORPORACIÓN ANDINA DEL GAS PERÚ S.A.C,AV. SANTA ROSA S/N LOTE P-58 KM. 14 AUTOPISTA A CIENEGUILLA,,193.5,45 Kg,Facilito Osinergmin
2026-07-01,09:32:00,SAN JUAN DE MIRAFLORES,Metro Gas,SUIZA GAS SAC,"JR. HUANCABAMBA N° 116-118, ZONA INDUSTRIAL",987585110,216.0,45 Kg,Facilito Osinergmin
2026-07-01,09:32:00,SAN JUAN DE MIRAFLORES,Super Gas,SUIZA GAS SAC,"JR. HUANCABAMBA N° 116-118, ZONA INDUSTRIAL",987585110,216.0,45 Kg,Facilito Osinergmin
2026-07-01,09:32:00,SAN JUAN DE MIRAFLORES,PUNTO GAS,SUIZA GAS SAC,"JR. HUANCABAMBA N° 116-118, ZONA INDUSTRIAL",987585110,216.0,45 Kg,Facilito Osinergmin
2026-07-01,09:32:00,SAN JUAN DE MIRAFLORES,MT GAS,SUIZA GAS SAC,"JR. HUANCABAMBA N° 116-118, ZONA INDUSTRIAL",987585110,216.0,45 Kg,Facilito Osinergmin
2026-07-01,09:32:00,SAN JUAN DE MIRAFLORES,DAME GAS,SUIZA GAS SAC,"JR. HUANCABAMBA N° 116-118, ZONA INDUSTRIAL",987585110,216.0,45 Kg,Facilito Osinergmin
2026-07-01,09:32:00,VILLA MARIA DEL TRIUNFO,Llama Gas,LLAMA GAS S.A.,AV. PACHACUTEC KM. 23.5 TABLADA DE LURIN,016171717,74.0,15 Kg,Facilito Osinergmin
2026-07-01,09:32:00,VILLA MARIA DEL TRIUNFO,Llama Gas,LLAMA GAS S.A.,AV. PACHACUTEC KM. 23.5 TABLADA DE LURIN,016171717,216.0,45 Kg,Facilito Osinergmin
2026-07-02,08:56:50,ATE,PETRO AMÉRICA,PUNTO GAS S.A.C.,"MZ. O LOTE 3, URB. INDUSTRIAL SANTA ROSA",,66.45,15 Kg,Facilito Osinergmin
2026-07-02,08:56:50,ATE,Delta Gas,PUNTO GAS S.A.C.,"MZ. O LOTE 3, URB. INDUSTRIAL SANTA ROSA",,66.45,15 Kg,Facilito Osinergmin
2026-07-02,08:56:50,ATE,PETRO AMÉRICA,PUNTO GAS S.A.C.,"MZ. O LOTE 3, URB. INDUSTRIAL SANTA ROSA",,199.35,45 Kg,Facilito Osinergmin
2026-07-02,08:56:50,ATE,Delta Gas,PUNTO GAS S.A.C.,"MZ. O LOTE 3, URB. INDUSTRIAL SANTA ROSA",,199.35,45 Kg,Facilito Osinergmin
2026-07-02,08:56:50,CHORRILLOS,INTI GAS,INTI GAS SAC,AV. LOS FAISANES N° 608-616 URB. LA CAMPIÑA,,70.5,15 Kg,Facilito Osinergmin
2026-07-02,08:56:50,CHORRILLOS,INTI GAS,INTI GAS SAC,AV. LOS FAISANES N° 608-616 URB. LA CAMPIÑA,,211.5,45 Kg,Facilito Osinergmin
2026-07-02,08:56:50,CIENEGUILLA,Continental Energy,KALLPA GAS PERU S.A.C.,AV. UNION MZ. A LOTES 1-2-3-4 SECTOR SANTA ROSA DE COLLANAC,944272844/994058281,63.0,15 Kg,Facilito Osinergmin
2026-07-02,08:56:50,CIENEGUILLA,Continental Energy,KALLPA GAS PERU S.A.C.,AV. UNION MZ. A LOTES 1-2-3-4 SECTOR SANTA ROSA DE COLLANAC,944272844/994058281,189.0,45 Kg,Facilito Osinergmin
2026-07-02,08:56:50,LURIGANCHO,GLOBAL GAS,COMPAÑIA DIESEL GAS S.C.R.L.,AV. CHOSICA S/N URB. CAJAMARQUILLA II ETAPA PARCELA 89 LOTE B,,45.8,15 Kg,Facilito Osinergmin
2026-07-02,08:56:50,LURIGANCHO,CANTA GAS,INVERSIONES CANTA GAS S.A.C. - Planta Envasadora de GLP CANTA GAS,LOTIZACION CAJAMARQUILLA II ETAPA PARCELA 87 SUB-LOTE 87-6 CARRETERA PRINCIPAL A CAJAMARQUILLA,,63.0,15 Kg,Facilito Osinergmin
2026-07-02,08:56:50,LURIGANCHO,Vita Gas,VITA GAS,"AV. LOS ROBLES MZ. I, LOTE 10, URB. LA CAPITANA",961801035/961801387,64.5,15 Kg,Facilito Osinergmin
2026-07-02,08:56:50,LURIGANCHO,PESADITO GAS,COMPAÑIA DIESEL GAS S.C.R.L.,AV. CHOSICA S/N URB. CAJAMARQUILLA II ETAPA PARCELA 89 LOTE B,,137.3,45 Kg,Facilito Osinergmin
2026-07-02,08:56:50,LURIGANCHO,GLOBAL GAS,COMPAÑIA DIESEL GAS S.C.R.L.,AV. CHOSICA S/N URB. CAJAMARQUILLA II ETAPA PARCELA 89 LOTE B,,137.3,45 Kg,Facilito Osinergmin
2026-07-02,08:56:50,LURIGANCHO,CANTA GAS,INVERSIONES CANTA GAS S.A.C. - Planta Envasadora de GLP CANTA GAS,LOTIZACION CAJAMARQUILLA II ETAPA PARCELA 87 SUB-LOTE 87-6 CARRETERA PRINCIPAL A CAJAMARQUILLA,,189.0,45 Kg,Facilito Osinergmin
2026-07-02,08:56:50,LURIGANCHO,Vita Gas,VITA GAS,"AV. LOS ROBLES MZ. I, LOTE 10, URB. LA CAPITANA",961801035/961801387,193.5,45 Kg,Facilito Osinergmin
2026-07-02,08:56:50,LURIN,Costa Gas,COSTAGAS,"MZ. E LOTE 13-A, CALLE 6, LAS PRADERAS DE LURIN",016269999/941450935,102.19,15 Kg,Facilito Osinergmin
2026-07-02,08:56:50,LURIN,Costa Gas,COSTAGAS,"MZ. E LOTE 13-A, CALLE 6, LAS PRADERAS DE LURIN",016269999/941450935,223.85,45 Kg,Facilito Osinergmin
2026-07-02,08:56:50,PACHACAMAC,Chaski Gas,CORPORACIÓN ANDINA DEL GAS PERÚ S.A.C,AV. SANTA ROSA S/N LOTE P-58 KM. 14 AUTOPISTA A CIENEGUILLA,,64.5,15 Kg,Facilito Osinergmin
2026-07-02,08:56:50,PACHACAMAC,CUMPA GAS,SOUTHFORK E.I.R.L.,"AV. LAS PALMAS LOTE 6, LOTIZACION AGROPECUARIA JOSE GALVEZ",,75.0,15 Kg,Facilito Osinergmin
2026-07-02,08:56:50,PACHACAMAC,CUMPA GAS,SOUTHFORK E.I.R.L.,"AV. LAS PALMAS LOTE 6, LOTIZACION AGROPECUARIA JOSE GALVEZ",,170.0,45 Kg,Facilito Osinergmin
2026-07-02,08:56:50,PACHACAMAC,Chaski Gas,CORPORACIÓN ANDINA DEL GAS PERÚ S.A.C,AV. SANTA ROSA S/N LOTE P-58 KM. 14 AUTOPISTA A CIENEGUILLA,,193.5,45 Kg,Facilito Osinergmin
2026-07-02,08:56:50,PUENTE PIEDRA,GAS A-1,EDRAM GAS S.A,"ASOCIACIÓN EL NARANJITO MZ. G, LOTES 44, 45, 46 Y 47",010,70.5,15 Kg,Facilito Osinergmin
2026-07-02,08:56:50,PUENTE PIEDRA,GAS A-1,EDRAM GAS S.A,"ASOCIACIÓN EL NARANJITO MZ. G, LOTES 44, 45, 46 Y 47",010,189.0,45 Kg,Facilito Osinergmin
2026-07-02,08:56:50,PUENTE PIEDRA,GASEP,GASCO PERU SOCIEDAD ANONIMA CERRADA,AV. SAN JUAN MZ. G LOTE 1 URB. INDUSTRIAL LAS VEGAS,,200.3,45 Kg,Facilito Osinergmin
2026-07-02,08:56:50,SAN JUAN DE LURIGANCHO,AZUL GAS,AB GAS SAC,LOS DURAZNOS N° 422 URB. CANTO GRANDE,996282451,54.0,15 Kg,Facilito Osinergmin
2026-07-02,08:56:50,SAN JUAN DE LURIGANCHO,Flama Gas Corp.,FLAMA GAS CORPORATION,"AV. LOS JARDINES ESTE N° 250, URB. LAS FLORES",01996282451,55.5,15 Kg,Facilito Osinergmin
2026-07-02,08:56:50,SAN JUAN DE LURIGANCHO,AZUL GAS,AB GAS SAC,LOS DURAZNOS N° 422 URB. CANTO GRANDE,996282451,162.0,45 Kg,Facilito Osinergmin
2026-07-02,08:56:50,SAN JUAN DE LURIGANCHO,Flama Gas Corp.,FLAMA GAS CORPORATION,"AV. LOS JARDINES ESTE N° 250, URB. LAS FLORES",01996282451,166.5,45 Kg,Facilito Osinergmin
2026-07-02,08:56:50,SAN JUAN DE MIRAFLORES,Metro Gas,SUIZA GAS SAC,"JR. HUANCABAMBA N° 116-118, ZONA INDUSTRIAL",987585110,166.5,45 Kg,Facilito Osinergmin
2026-07-02,08:56:50,SAN JUAN DE MIRAFLORES,Super Gas,SUIZA GAS SAC,"JR. HUANCABAMBA N° 116-118, ZONA INDUSTRIAL",987585110,166.5,45 Kg,Facilito Osinergmin
2026-07-02,08:56:50,SAN JUAN DE MIRAFLORES,PUNTO GAS,SUIZA GAS SAC,"JR. HUANCABAMBA N° 116-118, ZONA INDUSTRIAL",987585110,166.5,45 Kg,Facilito Osinergmin
2026-07-02,08:56:50,SAN JUAN DE MIRAFLORES,MT GAS,SUIZA GAS SAC,"JR. HUANCABAMBA N° 116-118, ZONA INDUSTRIAL",987585110,166.5,45 Kg,Facilito Osinergmin
2026-07-02,08:56:50,SAN JUAN DE MIRAFLORES,DAME GAS,SUIZA GAS SAC,"JR. HUANCABAMBA N° 116-118, ZONA INDUSTRIAL",987585110,166.5,45 Kg,Facilito Osinergmin
2026-07-02,08:56:50,SAN MARTIN DE PORRES,EL NAZARENO,NAZARENO GAS S.A.C,CALLE LAS EXPORTACIONES N° 140 URB. INDUSTRIAL PRO,,45.75,15 Kg,Facilito Osinergmin
2026-07-02,08:56:50,SAN MARTIN DE PORRES,EL NAZARENO,NAZARENO GAS S.A.C,CALLE LAS EXPORTACIONES N° 140 URB. INDUSTRIAL PRO,,122.0,45 Kg,Facilito Osinergmin
2026-07-02,08:56:50,VILLA EL SALVADOR,ENERGIGAS 2.0,ENERGIGAS S.A.C.,CARRETERA PANAMERICANA SUR KM. 21.5,,71.5,15 Kg,Facilito Osinergmin
2026-07-02,08:56:50,VILLA EL SALVADOR,ENERGIGAS 2.0,ENERGIGAS S.A.C.,CARRETERA PANAMERICANA SUR KM. 21.5,,207.0,45 Kg,Facilito Osinergmin
2026-07-02,08:56:50,VILLA MARIA DEL TRIUNFO,Llama Gas,LLAMA GAS S.A.,AV. PACHACUTEC KM. 23.5 TABLADA DE LURIN,016171717,74.0,15 Kg,Facilito Osinergmin
2026-07-02,08:56:50,VILLA MARIA DEL TRIUNFO,Llama Gas,LLAMA GAS S.A.,AV. PACHACUTEC KM. 23.5 TABLADA DE LURIN,016171717,216.0,45 Kg,Facilito Osinergmin
2026-07-03,09:00:27,ATE,PETRO AMÉRICA,PUNTO GAS S.A.C.,"MZ. O LOTE 3, URB. INDUSTRIAL SANTA ROSA",,64.95,15 Kg,Facilito Osinergmin
2026-07-03,09:00:27,ATE,Delta Gas,PUNTO GAS S.A.C.,"MZ. O LOTE 3, URB. INDUSTRIAL SANTA ROSA",,64.95,15 Kg,Facilito Osinergmin
2026-07-03,09:00:27,ATE,Delta Gas,PUNTO GAS S.A.C.,"MZ. O LOTE 3, URB. INDUSTRIAL SANTA ROSA",,194.85,45 Kg,Facilito Osinergmin
2026-07-03,09:00:27,ATE,PETRO AMÉRICA,PUNTO GAS S.A.C.,"MZ. O LOTE 3, URB. INDUSTRIAL SANTA ROSA",,194.85,45 Kg,Facilito Osinergmin
2026-07-03,09:00:27,CHORRILLOS,INTI GAS,INTI GAS SAC,AV. LOS FAISANES N° 608-616 URB. LA CAMPIÑA,,70.5,15 Kg,Facilito Osinergmin
2026-07-03,09:00:27,CHORRILLOS,INTI GAS,INTI GAS SAC,AV. LOS FAISANES N° 608-616 URB. LA CAMPIÑA,,211.5,45 Kg,Facilito Osinergmin
2026-07-03,09:00:27,CIENEGUILLA,Continental Energy,KALLPA GAS PERU S.A.C.,AV. UNION MZ. A LOTES 1-2-3-4 SECTOR SANTA ROSA DE COLLANAC,944272844/994058281,63.0,15 Kg,Facilito Osinergmin
2026-07-03,09:00:27,CIENEGUILLA,Continental Energy,KALLPA GAS PERU S.A.C.,AV. UNION MZ. A LOTES 1-2-3-4 SECTOR SANTA ROSA DE COLLANAC,944272844/994058281,189.0,45 Kg,Facilito Osinergmin
2026-07-03,09:00:27,LURIGANCHO,GLOBAL GAS,COMPAÑIA DIESEL GAS S.C.R.L.,AV. CHOSICA S/N URB. CAJAMARQUILLA II ETAPA PARCELA 89 LOTE B,,45.8,15 Kg,Facilito Osinergmin
2026-07-03,09:00:27,LURIGANCHO,CANTA GAS,INVERSIONES CANTA GAS S.A.C. - Planta Envasadora de GLP CANTA GAS,LOTIZACION CAJAMARQUILLA II ETAPA PARCELA 87 SUB-LOTE 87-6 CARRETERA PRINCIPAL A CAJAMARQUILLA,,63.0,15 Kg,Facilito Osinergmin
2026-07-03,09:00:27,LURIGANCHO,Vita Gas,VITA GAS,"AV. LOS ROBLES MZ. I, LOTE 10, URB. LA CAPITANA",961801035/961801387,64.5,15 Kg,Facilito Osinergmin
2026-07-03,09:00:27,LURIGANCHO,Primax Gas,CORPORACION PRIMAX S.A.,CARRETERA RAMIRO PRIALE KM. 8.3 EX FUNDO HUACHIPA,,71.88,15 Kg,Facilito Osinergmin
2026-07-03,09:00:27,LURIGANCHO,Progas,CORPORACION PRIMAX S.A.,CARRETERA RAMIRO PRIALE KM. 8.3 EX FUNDO HUACHIPA,,71.88,15 Kg,Facilito Osinergmin
2026-07-03,09:00:27,LURIGANCHO,Pecsagas,CORPORACION PRIMAX S.A.,CARRETERA RAMIRO PRIALE KM. 8.3 EX FUNDO HUACHIPA,,71.88,15 Kg,Facilito Osinergmin
2026-07-03,09:00:27,LURIGANCHO,PESADITO GAS,COMPAÑIA DIESEL GAS S.C.R.L.,AV. CHOSICA S/N URB. CAJAMARQUILLA II ETAPA PARCELA 89 LOTE B,,137.3,45 Kg,Facilito Osinergmin
2026-07-03,09:00:27,LURIGANCHO,GLOBAL GAS,COMPAÑIA DIESEL GAS S.C.R.L.,AV. CHOSICA S/N URB. CAJAMARQUILLA II ETAPA PARCELA 89 LOTE B,,137.3,45 Kg,Facilito Osinergmin
2026-07-03,09:00:27,LURIGANCHO,CANTA GAS,INVERSIONES CANTA GAS S.A.C. - Planta Envasadora de GLP CANTA GAS,LOTIZACION CAJAMARQUILLA II ETAPA PARCELA 87 SUB-LOTE 87-6 CARRETERA PRINCIPAL A CAJAMARQUILLA,,189.0,45 Kg,Facilito Osinergmin
2026-07-03,09:00:27,LURIGANCHO,Vita Gas,VITA GAS,"AV. LOS ROBLES MZ. I, LOTE 10, URB. LA CAPITANA",961801035/961801387,193.5,45 Kg,Facilito Osinergmin
2026-07-03,09:00:27,LURIGANCHO,Primax Gas,CORPORACION PRIMAX S.A.,CARRETERA RAMIRO PRIALE KM. 8.3 EX FUNDO HUACHIPA,,220.65,45 Kg,Facilito Osinergmin
2026-07-03,09:00:27,LURIGANCHO,Pecsagas,CORPORACION PRIMAX S.A.,CARRETERA RAMIRO PRIALE KM. 8.3 EX FUNDO HUACHIPA,,220.65,45 Kg,Facilito Osinergmin
2026-07-03,09:00:27,LURIGANCHO,Progas,CORPORACION PRIMAX S.A.,CARRETERA RAMIRO PRIALE KM. 8.3 EX FUNDO HUACHIPA,,220.65,45 Kg,Facilito Osinergmin
2026-07-03,09:00:27,PACHACAMAC,Chaski Gas,CORPORACIÓN ANDINA DEL GAS PERÚ S.A.C,AV. SANTA ROSA S/N LOTE P-58 KM. 14 AUTOPISTA A CIENEGUILLA,,64.5,15 Kg,Facilito Osinergmin
2026-07-03,09:00:27,PACHACAMAC,CUMPA GAS,SOUTHFORK E.I.R.L.,"AV. LAS PALMAS LOTE 6, LOTIZACION AGROPECUARIA JOSE GALVEZ",,75.0,15 Kg,Facilito Osinergmin
2026-07-03,09:00:27,PACHACAMAC,CUMPA GAS,SOUTHFORK E.I.R.L.,"AV. LAS PALMAS LOTE 6, LOTIZACION AGROPECUARIA JOSE GALVEZ",,170.0,45 Kg,Facilito Osinergmin
2026-07-03,09:00:27,PACHACAMAC,Chaski Gas,CORPORACIÓN ANDINA DEL GAS PERÚ S.A.C,AV. SANTA ROSA S/N LOTE P-58 KM. 14 AUTOPISTA A CIENEGUILLA,,193.5,45 Kg,Facilito Osinergmin
2026-07-03,09:00:27,PUENTE PIEDRA,GAS A-1,EDRAM GAS S.A,"ASOCIACIÓN EL NARANJITO MZ. G, LOTES 44, 45, 46 Y 47",010,70.5,15 Kg,Facilito Osinergmin
2026-07-03,09:00:27,PUENTE PIEDRA,GASEP,GASCO PERU SOCIEDAD ANONIMA CERRADA,AV. SAN JUAN MZ. G LOTE 1 URB. INDUSTRIAL LAS VEGAS,,168.8,45 Kg,Facilito Osinergmin
2026-07-03,09:00:27,PUENTE PIEDRA,GAS A-1,EDRAM GAS S.A,"ASOCIACIÓN EL NARANJITO MZ. G, LOTES 44, 45, 46 Y 47",010,189.0,45 Kg,Facilito Osinergmin
2026-07-03,09:00:27,SAN JUAN DE LURIGANCHO,AZUL GAS,AB GAS SAC,LOS DURAZNOS N° 422 URB. CANTO GRANDE,996282451,54.0,15 Kg,Facilito Osinergmin
2026-07-03,09:00:27,SAN JUAN DE LURIGANCHO,Flama Gas Corp.,FLAMA GAS CORPORATION,"AV. LOS JARDINES ESTE N° 250, URB. LAS FLORES",01996282451,55.5,15 Kg,Facilito Osinergmin
2026-07-03,09:00:27,SAN JUAN DE LURIGANCHO,AZUL GAS,AB GAS SAC,LOS DURAZNOS N° 422 URB. CANTO GRANDE,996282451,162.0,45 Kg,Facilito Osinergmin
2026-07-03,09:00:27,SAN JUAN DE LURIGANCHO,Flama Gas Corp.,FLAMA GAS CORPORATION,"AV. LOS JARDINES ESTE N° 250, URB. LAS FLORES",01996282451,166.5,45 Kg,Facilito Osinergmin
2026-07-03,09:00:27,SAN JUAN DE MIRAFLORES,Metro Gas,SUIZA GAS SAC,"JR. HUANCABAMBA N° 116-118, ZONA INDUSTRIAL",987585110,166.5,45 Kg,Facilito Osinergmin
